conm,gvkey,datafqtr,bkvq,atq,ltq,cstkq,sic,saleq,isin,sedol,dup
WIDAM FOOD COMPANY QSC,274902,2018Q1,,571.72601,282.24301,180,2011,118.4852,QA000A0KD6N7,B00H5Q1,0
SALAM INTERNATIONAL INVT CO,274903,2018Q1,1496.2933,5457.6484,3851.5571,1143.1459,6799,,QA0007227745,6539285,0
DRAIG RESOURCES LTD,274905,2018Q1,,13.4207,.995,37.728901,1220,,AU000000DRG8,B5YPKJ4,0
KM CORP,274906,2018Q1,75751.898,104661.75,27606.135,5002.1821,3842,27039.145,KR7083550004,B0QRN94,0
TELECOM EGYPT,274909,2018Q1,19803.178,53194.914,23170.488,17070.717,4813,4782.0718,EGS48031C016,B0S6009,0
COLUMBIA SUST US EQ INCM ETF,27491,2018Q1,,,,,6722,,US19761L3006,,0
SPCG PUBLIC CO LTD,274912,2018Q1,12979.667,25583.615,12506.46,973.98999,4991,1516.623,TH0889010Y07,B0V8CZ1,0
UNION CEMENT CO,274921,2018Q1,,1381.3781,135.052,669.43799,3241,161.203,AEU000201019,6549648,0
METALICITY LTD,274926,2018Q1,,10.7233,8.1110001,43.8773,3842,.1019,AU000000MCT4,BYY8HT5,0
COLUMBIA SUST INTL EQ INCM,27493,2018Q1,,,,,6722,,US19761L2016,,0
MULTI INDOCITRA TBK PT,274930,2018Q1,614080.81,826049.19,211573.86,60000,5122,149700.61,ID1000102809,B0TY6L5,0
SINGER PAKISTAN,274934,2018Q1,5254.0254,14208.799,6009.4258,454.056,3630,2208.3711,PK0030801010,6812845,0
CSP STEEL CENTER PCL,274938,2018Q1,619.91791,2199.1765,1573.911,496.16879,3310,699.09448,TH0881010Z03,B96TKX6,0
COLUMBIA SUST GBL EQ INCM,27494,2018Q1,,,,,6722,,US19761L1026,,0
MIKRO BHD,274941,2018Q1,,77.749001,15.229,49.750599,3825,13.0898,MYQ0112OO001,B0VCDT4,0
INTERHIDES PCL,274942,2018Q1,1644.3649,3102.6289,1445.8571,509.09,3714,551.40503,TH0886010Z02,B0TB7D5,0
TRC CONSTRUCTION PCL,274949,2018Q1,2752.458,4502.731,1736.7629,733.71198,1600,464.94,TH0890A10Z06,BXC7WR0,0
WETHAQ TAKAFUL INSURANCE CO,274951,2018Q1,,11.9759,.033100002,11.025,6300,,KW0EQ0301626,B0VCF32,0
MEEZAN BALANCED FUND,274955,2018Q1,,8852.9707,126.407,7742.833,6726,,PK0082701019,B0H9B39,0
ALK-ABELLO A/S,274957,2018Q1,2547,4922,1635,111,2836,752,DK0060027142,B0VL7C2,0
CHABIOTECH CO LTD,274958,2018Q1,409668.84,825694.88,374010.38,25834.506,3851,110434.99,KR7085660009,B0TLGZ0,0
HYUNDAI GLOVIS CO LTD,274959,2018Q1,3838120.5,8426741,4455548,18750,4400,3747917.8,KR7086280005,B0V3XR5,0
KATANA CAPITAL LTD,274960,2018Q1,,42.124001,1.1566,43.961201,6799,,AU000000KAT2,B0RGJB4,0
VIROMED LTD,274964,2018Q1,103414.74,177100.02,14567.515,7978.1299,2836,473.62201,KR7084990001,B0P5XC2,0
Y-ENTEC CO LTD,274965,2018Q1,106523.18,190500.66,80560.438,9099.8301,4950,17084.799,KR7067900001,B0R4MV9,0
YUUZOO CORP LTD,274966,2018Q1,8.3500004,44.028,13.104,77.445,3651,7.9829998,BMG9884X1020,BQV6FN6,0
ALCOR MICRO CORP,274967,2018Q1,2260.49,2641.7061,265.44,737.75299,3674,394.185,TW0008054008,B037FM4,0
ASURANSI MULTI ARTHA GUNA PT,274971,2018Q1,944123.13,4296362.5,2445128,500155.25,6300,,ID1000102908,B0LCGY0,0
BIONEER CORP,274972,2018Q1,26510.506,60502.359,31706.217,10312.284,2835,4339.3989,KR7064550007,B0VTXZ1,0
LUNG YEN CO LTD,274975,2018Q1,14668.199,62199.465,46766.992,4200.8418,7200,1030.426,TW0005530000,6292481,0
EUROMEDIS GROUPE,274976,2018Q1,15.668,60.223,32.535999,5.9819999,3842,19.594,FR0000075343,5943401,0
GALLANT PRECISION MACH CO,274977,2018Q1,2630.011,6458.27,3739.176,1651.361,3674,1313.104,TW0005443006,6104070,0
INDEKS BILGISAYAR SISTEMLERI,274978,2018Q1,370.23135,1698.1516,1322.347,56,5045,1239.0107,TREINDX00019,B03MTQ1,0
ITTEHAD CHEMICALS,274979,2018Q1,3233.2197,6640.4878,3400.823,770,2810,1265.4771,PK0078901011,6681885,0
NEW ZEALAND WINDFARMS LTD,274982,2018Q1,55.358002,71.986,13.229,107.005,4991,2.0840001,NZNWFE0001S1,B0P1HB7,0
PROMOTORA AMBIENTAL SA DE CV,274985,2018Q1,1628.059,5842.167,3330.696,183.711,4950,1086.269,MX01PA0B0006,B0PQCV7,0
PYLON PCL,274988,2018Q1,827.54462,1090.2749,261.43399,374.93671,1600,394.1463,TH0885010Z04,BD1MH60,0
SPAREBANK 1 OSTFOLD AKERSHUS,274992,2018Q1,3194.6304,21068.102,17868.244,1238.856,6020,,NO0010285562,B0NP4N2,0
SHIFA INTL HOSPITALS,274994,2018Q1,,,,,8090,2498.5339,PK0072901017,6802028,0
INCON CO LTD,274999,2018Q1,48791.82,69103.461,19709.496,12627.726,3651,4742.189,KR7083640003,B0R8B36,0
UOA REAL ESTATE INVT TR,275005,2018Q1,,1175.9316,446.38141,476.06219,6798,,MYL5110TO000,B0VY4Z3,0
UNITED BANK LTD,275009,2018Q1,170907.91,1876011.1,1703954.5,12241.798,6020,,PK0081901016,B09RFT5,0
SKYMOONS TECHNOLOGY INC,275012,2018Q1,37313.578,60792.93,23007.404,8558.5498,3661,753.35101,KR7033790007,6371636,0
SHINSUNG DELTA CO LTD,275013,2018Q1,119426.5,360689.34,239758.83,11044.274,3600,117119.3,KR7065350001,B01VH11,0
AVY PRECISION TECH INC,275015,2018Q1,6532.2876,13659.66,6808.4468,1130.418,3490,2809.2051,TW0005392005,6162573,0
ELITE ADVANCED LASER CORP,275016,2018Q1,5709.4141,8179.8418,2465.4609,1324.376,3674,1597.8149,TW0003450003,B07NLN1,0
JIIN MING INDUSTRY CO LTD,275019,2018Q1,903.15796,1407.199,436.70401,1077.465,3460,156.164,TW0003230009,B02R718,0
AAYAN REAL ESTATE CO,275032,2018Q1,,106.733,21.353001,41.564201,6500,,KW0EQ0401731,B0PF9F7,0
NATIONAL CLEANING CO LTD,275033,2018Q1,30.536301,81.519203,44.525002,24.9748,7340,8.2695999,KW0EQ0601108,6626411,0
ACWA POWER BARKA,275034,2018Q1,56.833603,163.50281,106.577,16,4931,15.5872,OM0000003141,B04V0T7,0
ZAMIL INDUSTRIAL INVT CO,275035,2018Q1,1854.7169,5696.8569,3815.8621,600,3440,969.99597,SA0007879410,B136LS6,0
NATIONAL FINANCE CO,275036,2018Q1,89.450005,426.42099,329.03699,50.396,6141,,OM0000002648,B04JXF8,0
FITAIHI GROUP HOLDING CO,275037,2018Q1,691.68842,735.95532,43.948002,550,5900,28.7812,SA0007879832,B128FB4,0
AL-AMAN INVESTMENT CO,275039,2018Q1,19.4631,21.58,1.0994,19.6483,6200,,KW0EQ0200208,6338642,0
KEW MEDIA GROUP INC,27504,2018Q1,-13.744011,341.79199,240.186,104.524,7812,39.782001,US49299X9304,,0
DANAH AL SAFAT FOODSTUFF CO,275040,2018Q1,12.241599,31.3967,17.530001,14.875,2092,1.7697999,KW0EQ0701221,6915324,0
AL DEERA HOLDING CO,275042,2018Q1,,23.5627,16.143999,19.7379,9998,-.0013,KW0EQ0201891,B0L4TX6,0
TOURISM ENTERPRISE CO,275043,2018Q1,,107.264,12.84,94.424004,7011,3.2179999,SA0007879824,B128FW5,0
MUSCAT FINANCE CO LTD,275044,2018Q1,,150.853,111.909,29.966,6141,,OM0000001590,6564511,0
AL HILAL CEMENT CO,275045,2018Q1,11.027201,23.2195,8.0129995,10.1462,3241,5.7618999,KW0EQ0500995,6338619,0
TIJARA & REAL ESTATES INV,275046,2018Q1,,71.364998,33.494301,37,6500,,KW0EQ0401921,B0LKMC4,0
KUWAIT METAL COLLECTING & SH,275047,2018Q1,15.8673,22.3612,6.0869999,10,5093,4.8642998,KW0EQ0500938,6503570,0
INOVEST BSC,275048,2018Q1,,265.12399,111.591,114.604,6500,,BH000A0F5KT6,6695121,0
TAMEER REAL ESTATE,275049,2018Q1,18.313801,30.3351,12.0009,24,6500,,KW0EQ0401962,B0TP6W9,0
RIVERFRONT DYN UNCNSTRND INC,27505,2018Q1,,,,,6722,,US00162Q5449,,0
TAAGEER FINANCE CO,275050,2018Q1,,154.659,115.968,25.358999,6159,,OM0000003281,B11ZRY3,0
SOKOUK HOLDING CO,275051,2018Q1,,99.018303,32.582802,59.314499,6500,,KW0EQ0201982,B0VXM34,0
MABANEE CO,275053,2018Q1,,815.9455,360.70999,93.669502,1500,18.919201,KW0EQ0400725,B00PQY0,0
SHUAIBA INDUSTRIAL CO,275054,2018Q1,,23.5417,4.178,10.0692,2670,3.8466001,KW0EQ0500920,6809427,0
SAUDI INDUSTRIAL SERVICES CO,275056,2018Q1,321.16565,2788.3035,1245.3831,816,4941,117.9747,SA0007879360,B133NS1,0
SAUDI ARABIAN REFINERY CO,275057,2018Q1,,436.32471,18.669001,150,2990,,SA0007879147,B1323W2,0
SANAM REAL ESTATE CO,275058,2018Q1,6.8735003,9.9701004,.1067,12.2185,6500,,KW0EQ0401665,B0WCFT7,0
ALUJAIN CORP,275062,2018Q1,1279.818,1300.605,20.563,692,2821,5.0669999,SA0007879345,B137VW3,0
QATAR CINEMA & FILM,275063,2018Q1,,161.4339,26.228001,62.807999,7822,1.307,QA0006929796,6566603,0
AL GASSIM INVEST HLDING CO,275064,2018Q1,,447.06461,129.353,300,200,3.3065,SA0007879576,B128FJ2,0
OMAN TELECOMMUNICATIONS CO,275066,2018Q1,338.18097,4446.1211,3133.0791,75,4810,469.98599,OM0000003026,B0MSYM1,0
AQAR REAL ESTATE INVEST CO,275067,2018Q1,,31.137199,4.0247002,23.424999,6500,,KW0EQ0401749,B0SQ0Z4,0
NATIONAL PETROLEUM SERVICES,275069,2018Q1,,41.990898,15.32,10,1382,7.0222001,KW0EQ0601272,6708513,0
RIVERFRONT DYN CORE INCOME,27507,2018Q1,,,,,6722,,US00162Q5365,,0
ARABI HLDG GROUP CO K.S.C.,275070,2018Q1,,250.7049,216.6443,17.2962,6799,,KW0EQ0601124,6520502,0
ARABIAN PIPES CO,275072,2018Q1,,1322.494,709.63,400,3317,121.945,SA0007879378,B137WC0,0
KAMCO INVESTMENT COMPANY,275073,2018Q1,,65.303001,27.305099,26.3302,6282,,KW0EQ0201289,6707985,0
JARIR MARKETING CO,275074,2018Q1,,2951.978,1336.335,900,5110,1599.421,SA000A0BLA62,B128FM5,0
BANADER HOTEL CO,275075,2018Q1,,42.084999,32.221001,22.950199,7011,.75190002,BH000A0ES6N8,B0R54Q1,0
INVESTORS GROUP HOLDING,275076,2018Q1,18.2939,33.2724,10.2773,62.286201,6500,,KW0EQ0401293,6712064,0
ISHARES MSCI CHINA A ETF,27508,2018Q1,,,,,6722,,US46434V5140,,0
KUWAIT FOUNDRY CO,275080,2018Q1,,47.652401,1.785,15.3884,3310,.62190002,KW0EQ0500946,6086877,0
KUWAIT CO PROCESS PLT CONST,275081,2018Q1,21.8125,70.765099,48.917999,10.0292,1600,24.6698,KW0EQ0601314,B00ZJ30,0
ARZAN FINANCIAL,275083,2018Q1,,147.04041,35.721199,80.2883,6141,,KW0EQ0200331,B0TB9L7,0
KUWAIT FINANCING & INV CO,275084,2018Q1,31.033001,56.485199,16.394899,32.2491,6141,,KW0EQ0201198,6674131,0
CO FOR COOP INSURANCE,275087,2018Q1,2278.9082,12511.337,10226.933,1250,6300,,SA000A0DPSH3,B128FN6,0
DLALA HOLDING,275089,2018Q1,232.01802,596.94702,364.14999,284.16,6211,,QA000A0KD6P2,B0JW6Z3,0
FIRST TR RIVERFR DYN EMG MKT,27509,2018Q1,,,,,6722,,US33739P7078,,0
GULF PETROLEUM INVESTMENT,275090,2018Q1,43.809597,62.826199,17.861,45.578201,1389,.86309999,KW0EQ0601827,B0BVFN9,0
GLOBAL INVT HOUSE,275092,2018Q1,,81.911003,8.9329996,57.016998,6200,,KW0EQ0200851,6123354,0
CRYSTALGENOMICS INC,275094,2018Q1,87599.484,116793.46,25259.912,13001.003,2836,1028.923,KR7083790006,B0W9LL2,0
K-ONE TECHNOLOGY SDN BHD,275096,2018Q1,86.408005,102.133,15.587,69.658997,3679,18.785999,MYQ0111OO003,B0W5KG8,0
MMS VENTURES BERHAD,275097,2018Q1,,69.918701,14.267,20.963499,3559,15.919,MYQ0113OO009,B0V4FT4,0
CARDINAL HEALTH INC,2751,2018Q1,-8219,41940,35233,2674,5122,32641,US14149Y1082,,0
TRIANGLE ENERGY (GLOBAL) LTD,275101,2018Q1,,24.421801,26.879999,26.440901,1381,3.3395,AU000000TEG2,B0TP6S5,0
AZUMAH RESOURCES LTD,275107,2018Q1,,4.9850998,.17399999,105.5084,1040,.0055999998,AU000000AZM5,B0P2033,0
JBS SA,275108,2018Q1,-1188.9141,107818.2,80815.438,23576.205,2011,39783.152,BRJBSSACNOR8,B1V74X7,0
ELENTEC CO LTD,275120,2018Q1,135654.48,400853.81,257945.86,10239.103,3670,96923.875,KR7054210000,6527451,0
VINACAPITAL VIETNAM OPP FND,275131,2018Q1,,1151.7889,45.678001,446.88501,6726,,GG00BYXVT888,BYXVT88,0
SUNRISE RESOURCES PCL,275132,2018Q1,.28220004,1.8628,.124,2.1442001,1400,,GB00B075Z681,B075Z68,0
BET-AT-HOME COM AG,275140,2018Q1,,133.707,38.671001,7.0180001,7990,31.304001,DE000A0DNAY5,B05GS53,0
INSTITUT IGH DD,275155,2018Q1,-55.522419,510.20959,562.75201,116.6047,8711,42.961399,HRIGH0RA0006,B056QQ0,0
PETROKEMIJA D.D.,275156,2018Q1,-282.94583,1096.139,1370.782,42.9039,2870,454.9856,HRPTKMRA0005,7622612,0
SHANGHAI TURBO ENTRPRSES LTD,275163,2018Q1,151.673,190.38,29.601999,55.409,3620,5.3330002,KYG8064W1160,BWX52C1,0
ANGOSTURA HOLDINGS LTD,275166,2018Q1,,1184.4969,174.129,118.558,2085,129.481,TTP035561005,2032915,0
ANSA MC AL LTD,275167,2018Q1,,14454.345,6812.5068,175.31599,9998,1504.459,TTP036181084,2029133,0
MASSY HOLDINGS LTD,275171,2018Q1,,13530.434,8209.5459,5073.5352,9997,3221.0991,TTP710771044,2632092,0
SCOTIABANK T&T LTD,275172,2018Q1,3832.7874,23721.656,19885.918,267.56299,6020,,TTP8535P1043,2072353,0
TRINIDAD CEMENT LTD,275173,2018Q1,,2549.3401,1782.562,827.73199,3241,429.043,TTP939111089,2886521,0
WEST INDIAN TOB CO LTD (THE),275174,2018Q1,,658.96301,208.674,42.119999,2100,187.80901,TTP985721039,2957784,0
AL-AMMAL FINL INVT CO LTD,275175,2018Q1,,17.357,1.9598,15,6200,,JO3123111010,B0WH6Q6,0
AMAD INV AND REAL ESTATE DEV,275176,2018Q1,,11.0128,.1705,8,6500,,JO3123411014,B0WPWK6,0
EML PAYMENTS LTD,275186,2018Q1,67.278,248.38,122.445,137.87601,1040,19.120501,AU000000EML7,B7ZGK34,0
DEVELOPMENT ADVANCE SOLUTION,275189,2018Q1,113033.94,221663.86,105639.48,8000,3440,66723.031,KR7058730003,B01VH44,0
TOREX GOLD RESOURCES INC,27519,2018Q1,955.86798,1580.308,624.44,1307.922,1040,108.284,US8910546030,,0
EUGENE TECHNOLOGY CO LTD,275198,2018Q1,183233.61,288999.81,61131.68,11458.021,3559,78652.813,KR7084370006,B0TBHH9,0
IFA HOTELS & RESORTS CO,275202,2018Q1,68.26461,287.0462,218.58299,63.5434,7011,17.544399,KW0EQ0602007,B0WG889,0
NANOMEDICS CO LTD,275204,2018Q1,14424.288,66568.492,51855.629,10943.07,3590,8781.582,KR7074610007,6726634,0
SAMSUNG PUBLISHING CO LTD,275205,2018Q1,114174.13,189045.27,72059.359,5000,2731,45898.102,KR7068290006,6541774,0
AAN DIGITAL SERVICES CO,275206,2018Q1,36.388397,57.009899,6.6690001,87.2342,4899,17.2274,KW0EQ0601405,B0WGV24,0
NEWFLEX TECHNOLOGY CO LTD,275207,2018Q1,47269.551,140099.67,91185.859,7052.0132,3670,50378.355,KR7085670008,B0T0DD4,0
NATIONAL INTERNATIONAL CO,275210,2018Q1,,44.6278,5.3740001,21.687799,9998,.36840001,KW0EQ0201677,B0WGV80,0
EKTTITAB HOLDING CO,275211,2018Q1,,21.566099,1.8352,31.8624,6200,,KW0EQ0201974,B0WG8C3,0
TALLINK GROUP AS,275216,2018Q1,769.17102,1531.619,714.56299,361.73599,4400,184.155,EE3100004466,B04BGR7,0
APEX MEDICAL CORP,275218,2018Q1,1194.832,2561.9971,918.086,833.85498,3841,499.24399,TW0004106000,6431091,0
DAFENG TV LTD,275220,2018Q1,2297.4316,9409.8906,4426.9419,1582.306,4841,481.194,TW0006184005,6432005,0
DEUTSCH MOTORS INC,275222,2018Q1,168205.7,567563.19,393681.44,13131.654,5500,307237.13,KR7067990002,B040QM9,0
ROO HSING CO LTD,275229,2018Q1,6976.3184,27342.098,12168.158,9034.3486,2300,3584.5271,TW0004414008,6203234,0
HANIL NETWORKS CO LTD,275230,2018Q1,58766.953,82895.336,23836.104,5977.1138,7370,33877.441,KR7046110003,B0TBHJ1,0
ZAHRAA MAADI INVT & DEV,275231,2018Q1,,1592.8516,853.51929,66,6500,,EGS21171C011,B0X46V1,0
ADVANCED ANALOG TECH INC,275232,2018Q1,1436.223,1868.949,422.47101,673.797,3674,242.8,TW0003438008,B049BF4,0
CRETE SYSTEMS INC,275234,2018Q1,1476.507,1969.9399,492.215,586.85498,3571,495.521,TW0003213005,6665049,0
VIVOTEK INC,275237,2018Q1,2896.7021,4118.9551,1178.095,825.05103,3663,1103.61,TW0003454005,B06KLF5,0
DIREXION DLY HGH YLD BEAR 2X,27524,2018Q1,,,,,6722,,US25490K1907,,0
WORLDCALL TELECOM,275243,2018Q1,-611.89648,14301.066,12313.548,12019.988,4899,709.51898,PK0084301016,B0WSB53,0
AURORA DIVIDEND INCOME TRUST,275246,2018Q1,,7.4801002,.3486,7.1314998,6726,,AU000000AOD8,B0NH9L1,0
INFIGEN ENERGY,275247,2018Q1,395.78595,1324.1,810.45502,918.87,4911,59.106499,AU000000IFN8,B0LN825,0
ISHARES FALLEN ANGELS USD BD,27525,2018Q1,,,,,6722,,US46435G4745,,0
ISHARES IBOXX HG YLD OIL GAS,27526,2018Q1,,,,,6722,,US46435G4414,,0
CENTRAL TELEGRAPH,275267,2018Q1,2027.7631,2752.488,687.75299,166.16701,4899,639.08502,RU0007665147,B5BJN12,0
SIEM OFFSHORE INC,275268,2018Q1,441.397,2002.476,1559.913,9.4200001,1382,65.872002,KYG813131011,B0GTG02,0
FUJAIRAH CEMENT INDUSTRIES CO,275272,2018Q1,1058.0436,1765.4576,706.86401,355.8653,3241,163.2168,AEF000301018,6355395,0
GULF CEMENT CO,275275,2018Q1,,1325.2581,184.882,821.0968,3241,135.30881,AEG000101010,6518499,0
BANCO PAN SA,275279,2018Q1,3836.636,25811.957,21821.748,3460.7319,6020,,BRBPANACNPR1,BPY3V40,0
GLOBAL STANDARD TECH CO LTD,275282,2018Q1,75696.813,103733.7,25008.078,4658.873,3559,38318.313,KR7083450007,B0TB3F9,0
ENERTORK LTD,275283,2018Q1,41166.398,43491.641,2190.729,4878.0439,3530,4443.2368,KR7019990001,B0V23X8,0
ZEUS CO LTD,275284,2018Q1,187504.17,406294.63,214172.33,5192,3679,110262.23,KR7079370003,B0VFQX8,0
A2 MILK COMPANY LTD (THE),275289,2018Q1,375.72803,547.65002,158.017,137.235,2020,217.3145,NZATME0002S8,6287250,0
KANGAROO ISLAND PLANTATION,275290,2018Q1,,157.103,46.348999,79.695999,800,.041499998,AU000000KPT0,BCBHVS8,0
CELLTRION PHARM INC,275309,2018Q1,288173.19,491898.66,169014.88,17012.246,2836,27320.066,KR7068760008,B0V3YP0,0
FOLEY FAMILY WINES LTD,275315,2018Q1,76.821999,124.513,34.638,66.517998,2084,9.0039997,NZGRME0001S1,6713799,0
BAKRIE TELECOM TBK (PT),275332,2018Q1,,718285,15048689,4252542,4812,997,ID1000103005,B0Y65H5,0
EVE INVESTMENTS LTD,275342,2018Q1,,4.6824999,.081200004,20.0616,6799,,AU000000EVE3,B00P4P7,0
SOLUTION DYNAMICS LTD,275348,2018Q1,2.7160001,6.9190001,2.95,5.2399998,7374,5.5650001,NZSDLE0001S8,B0204R2,0
IBUYNEW GROUP LTD,275352,2018Q1,-.9698,5.1514001,3.9530001,51.543201,7370,1.534,AU000000IBN7,BYNB2P6,0
ARTEMIS VCT,275359,2018Q1,,40.390999,.38699999,5.3150001,6726,,GB00B02WQ947,B02WQ94,0
ALTONA ENERGY PLC,275375,2018Q1,.72199959,12.323,.059999999,1.427,1220,,GB00B06GJT32,B06GJT3,0
BROOKS MACDONALD GROUP,275381,2018Q1,21.658997,121.672,38.549,.138,6282,,GB00B067N833,B067N83,0
AVACTA GROUP PLC,275406,2018Q1,13.401999,27.959999,1.783,6.9749999,8731,.73299998,GB00BYYW9G87,BYYW9G8,0
LOTTE SHOPPING CO,275421,2018Q1,10742742,27379234,14223409,140610.23,5311,4346566,KR7023530009,B0WGPZ5,0
BARWA REAL ESTATE,275422,2018Q1,18236.25,29473.375,11110.714,3891.2461,6500,,QA000A0KD6J5,B0YTG26,0
DATAGATE BILGISAYAR MALZEMEL,275423,2018Q1,98.805687,267.37589,167.976,30,5045,286.70871,TREDGTE00010,B0YV707,0
MALINDO FEEDMILL TBK PT,275424,2018Q1,,4095933,2344525.8,44775,2040,1473843.1,ID1000119407,B0F1PX5,0
SOLGOLD PLC,275425,2018Q1,,163.8933,5.559,227.05209,1040,,GB00B0WD0R35,B0WD0R3,0
STAR PHARMACEUTICAL LTD,275437,2018Q1,133.89499,203.23399,61.651001,144.97501,2834,67.452003,SG1BB3000009,BY4JL96,0
AMAN,275439,2018Q1,,1316.7108,1241.157,225.75,6300,,AED000401011,6561039,0
GULF GENERAL INVESTMENT CO,275440,2018Q1,886.95703,5492.7969,4594.3398,1791.333,6799,,AEG000301016,B125MW5,0
ISLAMIC ARAB INSURANCE CO,275441,2018Q1,698.24194,3470.52,2644.9751,1210,6331,,AEI000301012,B0LKM46,0
UNION PROPERTIES,275442,2018Q1,,5904.605,3067.073,4289.54,6500,,AEU000101011,6388380,0
FOCUS DYNAMICS GROUP BHD,275448,2018Q1,47.116699,57.934799,10.73,56.4403,5400,7.5451002,MYQ0116OO002,B0WJ4L3,0
VDM GROUP LTD,275465,2018Q1,,14.95,16.364,288.72198,8711,.16949999,AU000000VMG1,B0WFZ29,0
TAI-SAW TECHNOLOGY CO LTD,275512,2018Q1,1739.72,2469.7061,726.26202,963.44202,3670,458.388,TW0003221008,B01ZPL9,0
SUNFLEX TECH CO LTD,275515,2018Q1,1252.076,1827.448,574.46198,669.81097,3672,261.50601,TW0003390001,B03F0N4,0
REYSAS TASIMACILIK,275520,2018Q1,150.42726,1272.0729,1121.645,119.35,4731,116.7804,TREREYS00015,B0YBSZ9,0
RED HILL IRON LTD,275521,2018Q1,,10.9797,.035,27.0352,1000,.0055,AU000000RHI5,B0YT9Z0,0
FIRST GEN CORP,275525,2018Q1,1443.4612,5411.812,2978.8889,75.123001,4991,457.39499,PHY2518H1143,B0XNCB0,0
MOBILE STREAMS,275529,2018Q1,,2.8940001,1.783,.182,7370,.91649997,GB00B0WJ3L68,B0WJ3L6,0
CITY STEEL PCL,275538,2018Q1,1333.266,1381.717,48.451,300,3490,93.865997,TH0898010002,B0YV990,0
EQUATORIAL BIOFUELS PLC,275542,2018Q1,,24.400999,.050999999,5.598,2070,.045000002,GB00B2QBNL29,B2QBNL2,0
ORTHOPEDIATRICS CORP,27555,2018Q1,42.339996,80.642998,35.889,.0020000001,3842,12.094,US68752L1008,,0
INTEROIL EXPLORATION AS,275552,2018Q1,,44.147999,51.081001,129.13499,1311,6.1560001,NO0010284318,B0LGG53,0
OSLO BORS VPS HOLDING ASA,275554,2018Q1,537.38397,1686.298,586.34198,1099.493,6200,,NO0010096845,B1VWQR0,0
BIOSINO BIO-TECH & SCI INC,275561,2018Q1,,,,,2835,73.401001,CNE100000288,B0ZGT38,0
LUZHOU BIO-CHEM TECH CO LTD,275563,2018Q1,54.951984,1297.687,1199.327,308.72299,2040,517.09698,SG1S94928862,B0Z7YT2,0
KOH BROTHERS ECO ENGINEERING,275564,2018Q1,59.258007,247.073,180.95799,52.143002,8711,52.776001,SG1S95928879,B0WD589,0
GULF FRAN HLDG CO K.S.C.C.,275572,2018Q1,.65740007,2.3034,1.423,3.2498,7389,.6825,KW0EQ0601843,B0ZGJG1,0
UNICAP INVESTMENT & FINANCE,275573,2018Q1,,48.001801,21.8165,23.9597,6162,,KW0EQ0201792,B0ZGQ60,0
PRIVATIZATION HOLDING CO,275574,2018Q1,93.2519,145.0248,51.320999,61,7389,2.9196,KW0EQ0601702,B0ZL3Z3,0
SBC SVERIGES BOSTADSRATTS AB,275580,2018Q1,50.860992,214.004,85.566002,14.003,6552,,SE0005932605,BMTRW32,0
AJIAL REAL ESTATE ENTMT CO,275586,2018Q1,,136.03,15.1835,18.521999,6500,,KW0EQ0400360,6338608,0
ALLAMI NYOMDA PLC,275587,2018Q1,7305.8843,19983.725,12341.983,1449.876,2750,7712.4082,HU0000093257,B0T7692,0
ALROV PROP & LODGING LTD,275588,2018Q1,4290.8711,12928.584,8440.2979,37.868,6500,,IL0003870198,6308009,0
ARAB EAST FOR REAL EST INV,275589,2018Q1,,34.766102,10.037,9.9961004,6500,,JO3121811017,B02GLX5,0
HF EIMSKIPAFELAG ISLANDS,275593,2018Q1,164.79901,468.78101,237.765,1.165,4400,155.532,IS0000011039,B0VLFN9,0
BADEL 1862 DD,275594,2018Q1,427.4498,700.05261,272.30801,254.0576,2084,56.8605,HRBD62RA0004,5020199,0
BRILL SHOE INDUSTRIES LTD,275598,2018Q1,128.04599,392.754,239.28101,10.861,3140,132.59399,IL0003990145,6080288,0
CEMENT CO OF NORTH NIGERIA,275599,2018Q1,15495.246,27103.475,11607.696,628.33893,3241,5394.0337,NGCCNN000003,6225391,0
Y.H. DIMRI BLDNG & DEV LTD,275600,2018Q1,,3223.813,2230.2959,18.111,6552,,IL0010903156,B02SX80,0
AMOS LUZON DEVELOPMENT,275602,2018Q1,372.23297,1677.16,1285.4351,309.27399,6552,,IL0004730177,6916082,0
MEITAV DASH INVESTMENTS LTD,275603,2018Q1,-232,29592,28659,64,6282,,IL0010818438,6141248,0
ZAMBEEF PRODUCTS LTD,275604,2018Q1,2724.6282,4024.572,1133.1429,3.006,2000,613.0415,ZM0000000201,6592482,0
UNITED FINANCIAL INVESTMENT,275606,2018Q1,8.6327,10.7436,2.1103001,8,6200,,JO3109011010,6913919,0
EL AHLI INVESTMENT & DEV,275607,2018Q1,248.28918,844.26147,595.97229,200,6200,,EGS69021C011,6004039,0
ULJANIK PLOVIDBAE D.D.,275608,2018Q1,1.83525,1044.1217,1042.278,232,4400,41.139599,HRULPLRA0002,7681453,0
TRANSPORT & INV BARTER,275611,2018Q1,,16.122299,2.642,13.915,4210,1.3001,JO3120811018,B0V01S3,0
EXPORT IMPORT (EXIM) BANK,275613,2018Q1,,331707.31,304541.47,14122.511,6020,,BD0129EXIMB2,B00LNN6,0
TADIR-GAN (PRECISION & PROD),275619,2018Q1,24.025,54.092999,30.011999,7.3610001,3714,15.47,IL0010901416,B02SVL9,0
GAN SHMUEL FOODS LTD,275622,2018Q1,112.924,201.528,73.996002,4.5710001,2033,51.692001,IL0005320101,6369415,0
